reviews,Sentiment,Polarity,Reply
"Not Verified|  Check in was smooth enough. Boarding was chaotic. We were herded through the gate only to be held for a seemingly never ending period of time outside next to the apron. We are BA silver members and noticed that despite business class being nearly empty we were not offered the chance to move up a class. The seat pocket in front of me full of the previous passenger's rubbish.  On arrival at Heathrow, our bags took a long time to reach the belt and plenty arrived before ours even though ours were supposed to be priority.",Neutral,0.048148148148148155,Thanks for sharing your thoughts.
"✅Trip Verified|   We are extremely grateful to the crew of flight BA0058 from Cape Town to Heathrow. They brought us home with such a high level of professionalism, flexibility, and empathy.  Thank you so much.",Neutral,0.058750000000000004,Thanks for sharing your thoughts.
"✅Trip Verified|   I had an appalling experience with British Airways. It started when I tried to check in online but couldn’t change my seat due to repeated website errors. I arrived at the airport 4 hours early to sort it out, but the staff at the check-in counter refused to help me—brushing me off before I could even say which flight I was on, simply saying all flights were full. Incredibly rude and unprofessional. The BA lounge was overcrowded, uncomfortable, and poorly equipped—wooden utensils only and very limited seating. Shortly before boarding, I was struck with excruciating abdominal pain. Fearing a medical emergency, I asked to be offloaded. Staff at the boarding gate took my boarding pass and luggage tag, asked me to wait, and then left me sitting there in agony for 40 minutes. I eventually asked to leave to go to hospital—staff said it was fine. However, in my distress, I didn’t realise that they had taken my boarding pass with the baggage reference on it. I asked a group of wheelchair porters heading in my direction for help. None assisted me. I collapsed midway and was finally stretchered away by medics and taken to hospital. Thankfully, I received treatment and have now returned home. Since then, I’ve been trying to retrieve my luggage. Every number I’ve tried—online, via the airport, and through customer service—is either unreachable, goes to voicemail, or simply rings out. I have no idea where my bag is, and no one is helping. This is completely unacceptable from an international airline. British Airways has failed at every stage: technical support, in-person service, medical handling, and post-flight care.",Neutral,-0.05657349896480333,Thanks for sharing your thoughts.
"Not Verified|  Good points, the cabin crew, they were helpful, professional and mature, Quantity and quality of food, cleanliness of the aircraft which was spotless Picture of a pub in the forward toilet and the flight was on time. BA's T3 lounge is just not anything special, mediocre at best, food options lacking, its Gatwick & T5 lounges are far more superior. On board usual poor seat pitch, the Club Europe product is inconsistent, no hot towels, menu given however food delivered on a trolley in the economy way, all the courses on one tray. No further bar offerings unless one used the call bell. Parked on remote stand at Krakow. On return Krakow - LHR Queued for twenty minutes at the Club Europe check in desk, the non-BA lounge was basic and at the late departure time of the flight, minimal food choices. On boarding Cramped into a bus and walked up on remote stand. No menus or hot towels, however meal orders taken individually and delivered direct from the Galley, seat uncomfortable, no wi-fi. Had to request tea after meal. Again inconsistency in service. The extra cost of Club Europe is hard to justify, there have been improvements in catering, however the product needs to be elevated to justify the cost.",Neutral,0.04828571428571427,Thanks for sharing your thoughts.
"✅Trip Verified| Having had some rough experiences with BA in recent years, I did not look forward to this particular flight. However, it turned out to be a decent trip. The staff were really engaged and seemed to enjoy what they were doing. Food was acceptable, although there has to be other options than pasta or chicken on long-haul flights! Seating was good and the IFE worked well.",Neutral,0.07314814814814814,Thanks for sharing your thoughts.
"✅Trip Verified|   The service was rude, full of attitude to me, the food is poorly serviced, the cabin during the flight was never cleaned in particularly the toilets.",Neutral,-0.045833333333333344,Thanks for sharing your thoughts.
"✅Trip Verified|   After the nightmare of getting through triple security at Nairobi Airport, I was looking forward to a glass of something lovely to unwind on the plane. Fat chance. An hour and a half after takeoff we were finally served a drink and meal together. I keep reading how well BA are now doing, but on both legs of this trip the crew were awful. The club suites are a great improvement but if the staff make no effort, what’s the point? On a positive note we were told my wife’s seat was broken and could not recline. I was going to swop, but at the gate they found her another. Prior to this we received an email within 30 minutes of check in with a healthy portion of Avios already added to our account. Well done customer service.",Neutral,0.051178451178451184,Thanks for sharing your thoughts.
✅Trip Verified|   Prior to boarding a gate agent seemed to pick on elderly people and asked them to check in relatively small bags. By contrast the same staff member looked the other way to a boisterous group of 20 somethings all of whom had large amounts of luggage. London Gatwick to Marrakech with British Airways was rather disappointing. The flight is just over 3 hours and during this flight passengers in economy were offered a tiny packet of digestive biscuits. No water was offered other than a cabin crew member walking through the aisle with a bottle of mineral water and plastic cups. She claimed she ran out of water and so many passengers did not even get that miserly offering. There was no route map on this A320. The captain made only 2 very brief announcements. When I needed to use the lavatory one cabin crew member rudely drew the curtain as she was sitting behind the lavatories with one of her colleagues – they were loudly talking about their boyfriends and ignored an elderly man who was struggling to open the small door to the lavatory. I shall add that the lavatory was unclean and had water on the floor. One concern was the seemingly casual approach to the safety demonstration. Disembarkation was not well managed either. This route is very competitive and these days one has a lot of choice. I will not use British Airways on this route.,Neutral,-0.07678571428571429,Thanks for sharing your thoughts.
"✅Trip Verified|   I flew from Amsterdam to Las Vegas with a layover in Heathrow in November 2024. The day we were flying the weather wasn't great. Since I was on business I really needed to get to Las Vegas, we anticipated on it and checked early if our flight was still leaving. We would have had ample time to catch an earlier flight to Heathrow or even take the train when we checked. According to google our flight was delayed and we would miss our connection. According to the staff of British airways the flight was not delayed and there was no reason for panic. When we got to the airport there was still nothing wrong with our connection. An hour before we were supposed to leave it was announced that the plane wasn't there yet and we would have a major delay. We called customer service and they told us to just go to London and see from there. We wanted some kind of assurance that we could be placed in a hotel since we would not be making our connecting flight and they refused to give those. In the end we found a direct flight the next day and convinced British airways to book that for us. Even though they wanted to connect us through 3 additional layovers.. This resulted in approximately a 24 hour delay in our trip. On our way back home they lost our luggage at the gate and took approximately 2 hours to find it at a wrong gate. On the way back we tried to check in through the online portal. My colleague was able to check in just fine but I couldn't. I was afraid I was overbooked and contacted customer service 3 times.  When I got to the airport I was overbooked and the ground staff had the nerve to tell me it was my fault for not checking in online. Since we were seated in premium economy I could be moved to regular economy but that does mean someone in economy was bumped off the plane. When we got to London our flight back to Amsterdam was delayed. This was because there were disabled people on board of the plane still and there were not enough wheelchairs to get them off. It took approximately 2 hours before boarding could begin.  When we finally boarded we were told we needed a new pilot because the old pilot had now made too many hours waiting around to still fly us to Amsterdam. Arriving in Amsterdam they had left my luggage in Las Vegas so I needed to wait for another week before that was given back to me. Afterwards I have made a claim as soon as possible for my delays and hotel costs, it's been almost 3 months and they still haven't replied. Every time I contact them they claim they have such a huge backlog that it takes long to process them.",Neutral,0.03758417508417509,Thanks for sharing your thoughts.
"✅Trip Verified|   I booked through BA because Loganair don’t have representatives in Manchester airport. Loganair cancelled the flight but someone at BA marked the flight as delayed by 52 minutes. I’ve spent over 70 days chasing BA’s complaints department who are at best totally ineffective. They won’t put you through to the people dealing with the claim (apparently they don’t have the facility to do so!), they won’t phone Loganair, they won’t look on Manchester airports historic flight website to confirm the cancellation, they won’t put you through to a supervisor in fact they do very little but apologise for how little they do.",Neutral,0.07890625,Thanks for sharing your thoughts.
"✅Trip Verified|   British airways lost bags in LHR then found them. Sent to Cologne where it sat for two days before they told me, but no one was there to give it to me. I spent 10 days in Europe without a bag, bought clothes. BA refused to reimburse me. They closed the case 10 days after i returned to the states when my bag showed up at my front door. They wont let you talk to management, they say they email mail you but they don't then you call customer service. they say they will escalate it but you will never know. they don't update the claims or the forms.",Neutral,-0.06666666666666667,Thanks for sharing your thoughts.
"✅Trip Verified|   We flew in November 2023, but it took this long to seek a satisfactory response from BA, which we ultimately never received. BA refused to re-book my son and me at no cost that day due to lack of Underground service / alternate service. BA forced us to buy new tickets and never admitted that they subjected us to disparate treatment. I will not be flying or recommending BA again.",Neutral,-0.05643939393939395,Thanks for sharing your thoughts.
"✅Trip Verified| I left for London from Johannesburg at 21:15 on 22 December 2024. My only issue with that flight was the pillows they gave us were dirty and when my 7 year old dropped some juice and I asked a cabin crew member walking past for some serviettes she told me to go to the bathroom to get some to clean it up. Those issues weren’t pleasant but certainly not a major problem. I was booked on the BA0057 at 21:15 on 31 December 2024 to return to Johannesburg. The flight was delayed to the 1 January 2025 at 12:00pm. I had a connecting flight to Durban and do not live in Johannesburg. Landing in Johannesburg with 3 children at 1 am was not an option for me. BA changed my flight to 2nd January 2025 at 18:25. I requested a sooner date so I could get home sooner. I was given 1 January 2025 at 21:15. I accepted this as this is the original time I opted for and would he most convenient for me as I was doing a connection in Johannesburg to Durban. Unfortunately this flight was delayed till 2nd January at 17:00. I was extremely upset by this as I was absolutely exhausted and had 3 children who were absolutely exhausted. I also suffer from eczema and hay fever and did not have my creams and medication. This caused my eczema to flare up so badly, even my lips were cracked and burning. My allergies were so severe that my eyes were sticking together and I couldn’t stop sneezing. My daughter also has eczema and has had a flare up. The staff had no sympathy or empathy for a mother traveling alone and her children. I was just told that they know it’s an inconvenience and a lady even snapped at me that they trying their best. My children are 4, 7 and 11 and we were all booked on separate seats. Is that even legal let alone ethical? They were refusing to help me and saying they can’t do anything. I approached 3 people, and the third person finally put us together. So they could clearly help me??? My flight from Johannesburg to Durban was originally booked on South African Airways and I paid a lot for this ticket as South African Airways is not a low cost airline. I was given a cheap low cost Airline, CemAir, which I had never even heard of, to replace my SAA flight. I suffer from flight anxiety and this is why I never book low cost airlines with tiny flights. My anxiety went through the roof on the flight! Besides all of this, I am also left with a huge credit card bill as I used up all my pounds on the 1st! I know BA is obliged to compensate me for the inconvenience under EU law but besides the compensation BA staff really needs to show more empathy for their passengers, like me, who had two hours long flight delays two days in a row and was alone with 3 children. I expect my full compensation for all of us as this has been by far the worst experience I have had traveling. All their staff kept saying is “that’s why you will get compensation.” I am now waiting to see if I get compensated as I was promised by all of their ground staff! Legally they have to under EU law, so let’s see if they put up a fight or do what is ethical and legal.",Neutral,0.057571353065539135,Thanks for sharing your thoughts.
"✅Trip Verified|   On a recent flight from Cyprus BA621 on 23/11/24, the second the cabin door was closed the pilot announced we would be held on the runway for 2 hours. They know this prior and did not inform passengers until after we had boarded. The flight home took nearly 6 hours due to weather conditions, this plus 2 hours waiting. What did BA offer during this 8 hour hell flight, 3 oatmeal biscuits and 250ml of water for our family. When I went to the cabin crew to ask for more water, which I was told there wasn’t any 3 out of the 4 cabin crew were asleep in the back row seats of the aircraft BA621 on 23/11/24. This infuriated me further as I had previously asked if there were any spare seats so that my 2 year old could spread out and get some sleep if available. I was told the flight was full. After we arrived late my connecting flight had now been missed. We then queued at the connections desk in a large queue only to watch the BA staff clock off for the night in front of us. No genuine support was given to me, or my family and we were effectively abandoned by BA. I’ve tried to speak to someone, but their helpline has an automated message saying due to the number of calls (not surprised by that aspect) they cant assist me, then hang up. Tried this several times at various times. I think it’s their default message. Have raised this via their email system. Unsurprisingly been mugged off and can’t escalate until 8 weeks have passed. Like I said a national disgrace.",Neutral,0.05443722943722944,Thanks for sharing your thoughts.
"✅Trip Verified|   Flight BA 0560 arrived in Rome on 11 December where ALL passengers received a SMS from BA to say that their luggage had been left in London.  My wife and I completed the required form but were in a queue for 2 hours to have it checked. BA’ s agent in Rome believe the baggage would arrive on the last flight that night (10pm) and would most likely be delivered next day. Nobody from BA in Rome Airport made contact with us to explain what happened and when bags would arrive. We finally got our luggage delivered to us at 4pm on Sunday 15 December - the day before we were due to leave Rome. During the waiting period there was no contact initiated by either BA or their Rome agents and on several occasions when we called both Rome and London help desks, we received no updates. In 34 years of travelling together this has never happened before and the sheer neglect in keeping us informed is disgusting. Sadly for BA, we will never fly with it again and will share our horror story with others and strongly encourage them to fly with another airline. I would give BA an overall rating of zero.",Neutral,-0.019444444444444434,Thanks for sharing your thoughts.
"✅Trip Verified|   This was the first time I flew British Airways, and it was a huge disappointment. While the seat is quite good, the food is very simple and the service is subpar. But not only that, Heathrow airport, their hub, is by far the worst large airport I’ve seen in Europe. When we landed in DC I had an email saying that my luggage stayed in London. This was last Wednesday. I have an AirTag so I could follow my suitcase. It came to Washington the following day, Thursday. Ever since, it’s been sitting in the airport. British offers no means of communication: the online chat is a bot. The bot tells me to call a number in England. I did. It’s another bot. When you say you have in inquiry about luggage it sends you a link via SMS and hangs up. No option to talk to a human. In the claim form they gave me there’s a local phone, which reaches a voicemail. I keep calling them (6 times today only) and leaving messages, saying that the AirTag shows the suitcase in IAD and offering to go pick it up so they don’t need to deliver it. No one replies to the voicemail. So basically I am shut out, with no luggage, no information, no customer service and no one to talk to.",Neutral,0.009663865546218479,Thanks for sharing your thoughts.
"✅Trip Verified| British Airways is absolute rubbish. I had to fly to Amsterdam for an urgent appointment. The flight was cancelled last minute presumably due to bad weather. They've kept us at the gate saying the plane couldn't land while literally every plane from that airport was taking off and landing with zero issues. There was another KLM flight to Amsterdam scheduled to depart at the same time. It took off on time and another KLM flight to Amsterdam later the evening also took off without any problems. It's just the one operated by British Airways was cancelled because of 'the bad weather'. Apparently, the weather was so bad that every plane could land and take off successfully apart from theirs. I had to rebook myself on the Eurostar the next day and would still miss the important appointment that I intended to go to Amsterdam for. All thanks to British Airways.",Neutral,0.01029411764705885,Thanks for sharing your thoughts.
"✅Trip Verified| The flight time was changed at the last minute without warning and no assistance was provided by the ground staff (3rd party agents) regarding the impact for the delay, nor was any help forthcoming from the phoneline. Nobody in the airline wants to take responsibility for anything. This is fundamentally an unreliable airline. Onboard service was poor and not even as good as some low cost airlines.",Neutral,0.08333333333333333,Thanks for sharing your thoughts.
"✅Trip Verified|   I'm so fraustrated. My flight was cancelled last minute, which wasn't the end of the world, even though the earliest I could get re-booked was three days later. It's the insane saga of events that proceeded to claim the compensation that I'm legally entitled to according to EU rules. Used their claims page and all was OK. It was from there that it became incomprehensibly frustrating. My case was closed but no confirmation of what the conclusion was or any money. I tried calling but kept being lead in circles; customer services can't speak to the claims team, the claims team can't be spoken to directly, customer service don't have access to the claims team's system and so on. 4 calls later and 'nothing could be done'. I had to throw my toys out of the pram on the last call and someone finally updated me. I thought that was the end; they had confirmed the claim and that I would be transferred what I was due. And then, they got the amount wrong. I wrote to they to highlight this and they said that they would rectify it. Almost 1 month since the original flight was cancelled and still haven't received what is owed to me as compensation for my wife and son. I have sent two more emails in the last two days and I've yet to get a response. It is criminal that they are not adhering to the aviation rules that dictate compensation for cancelled flights. Terrible customer service and honestly can't belive that BA are capable of such awful service.",Neutral,-0.07173913043478261,Thanks for sharing your thoughts.
✅Trip Verified| We have sat on this plane for an hour and forty five minutes awaiting takeoff due to bad weather in London. This is understandable for safety. Fortunately I have a long layover so this delay does not affect me. However many others are not so lucky. While waiting we were given one small bottle of water and one tiny pack of corn kernels. Later food and drink were offered for purchase. This is my complaint. After sitting idle on this plane for nearly two hours and possibly missing connecting flights they can’t give us a free bag of chips and a coke? When I asked I was told no. Is British Airways really this cheap and money grubbing?,Neutral,0.04427083333333334,Thanks for sharing your thoughts.
"✅Trip Verified|   Although like many these days, I avoid BA on long haul from London Heathrow due to my perception of poor service and lack of customer services if things go wrong, I was pleasantly surprised by my recent flight to Belfast. The aircraft actually left on time and arrived ahead of schedule. The cabin crew looked bored and uninspired as they can often do on BA (I read at times) but that didn’t really matter. It was a quiet flight so I say myself at the emergency exit unchallenged which was handy. Would fly again with BA where pressed.",Neutral,0.008928571428571421,Thanks for sharing your thoughts.
