reviews,Sentiment,Polarity,Reply
"✅Trip Verified| Although transferring to this flight through Heathrow from Budapest took almost an hour, the flight crew was welcoming and friendly as we boarded at the last minute. I had tried to reserve a vegetarian meal online the day before the flight but couldn't, and asked Sarah, the head flight attendant, if they might be able to provide one. She not only found a delicious meal from Premium, Economy, but was especially caring and helpful throughout the flight. The flight attendants also offered water and juice several times during the flight. I was also impressed with the wide range of entertainment offerings, which included some first-rate films.",Positive,0.2975,Thank you for your positive feedback!
"Not Verified|  It was a decent flight, reasonable comfortable seat and pilot kept us nicely informed about the flight's progress. BA serve biscuits and a small bottle of water for free. This was ok for me but sandwiches had run out from the in-flight cafe to the disappointment of passengers. Inflight wifi is limited and you have to pay to access music or programmes. BA's offering is well below that of Aegean and this level of service is not suitable for easterly destinations such as Larnaca. So I would certainly fly again with BA to Athens but only in the event Aegean has no seats or the fare is cheaper.",Positive,0.14386446886446885,Thank you for your positive feedback!
"✅Trip Verified|   I really like flying British Airways particularly in their new Club World. The seats are great, have a privacy screen, comfortable enough for sleeping and BA crew are engaging and high spirited. Clearly, they must have been short of them because the business class meal service didn’t even start until 2 hours into the flight. When I commented, I received a rather surly look. There was no apology just an off the cuff excuse about him being the only member of crew in this section of the cabin. This is not at all what I expect from BA particularly when you consider the price paid for the seat and the fact, they make you pay even more to just to choose where you sit. Come on BA – surely you can do better than this?",Positive,0.2488720538720539,Thank you for your positive feedback!
"✅Trip Verified|   This comfortable flight was BA at its best. Excellent start in the Chelsea Lounge with Krug behind the bar. Lounge hosts were welcoming and friendly, food not quite up to par but much better onboard. The First Suite is spacious and comfortable, and the two cabin crew were both experienced, friendly, professional and personable. They sprang to action quickly after takeoff, making beds or serving dinner as required. The menu was excellent with a well cooked beef fillet and delicious salmon starter. The new Nyetimber 1086 is an exceptionally good wine! Overall the service was well relaxed and intuitive. The cabin was  comfortably cool and I left the flight feeling refreshed. BA have made some poor choices of late with their loyalty programme, but their staff still shine and they really got it right on this flight.",Positive,0.3491838023088023,Thank you for your positive feedback!
"✅Trip Verified|   Punta Cana Terminal B check in was straightforward with separate Club World desks. Agent was polite, issued boarding cards, provided a voucher for the VIP lounge and explained how to find it. No fast track security unless you paid $50 per passenger but that was the airport, not BA. VIP lounge was comfortable but not quiet due to 3 crying babies but that's life! Flight boarding was on time, we were group 2 and it was well managed by gate staff Old style club world seating but the cabin was clean, cabin crew were on hand and offered champagne or orange juice, there was a bottle of water in the drawer with the White Company amenity pack. White Company duvet was clean in a sealed bag. Order for drinks was taken before take off. Drinks were served promptly followed by dinner which we ordered immediately after take off. My starter of cream of leek soup was delicious served with warm bread. I declined the main course as it was late (choice was fillet steak or shrimp linguine). Dessert was chocolate mousse or cheese and biscuits however they found both for me as I didn't have the main. Excellent pinot noir from South Africa, refills were offered. Following dinner I got about 5 hours sleep and found the lay flat bed comfortable but I am pretty small. The duvet and pillow were great. Breakfast was ho hum, no orange juice was offered, bircher muesli was fine, fruit wasn't ripe and was almost inedible. The muffin was very cold and dry, coffee okay. I declined the breakfast baguette. Excellent cabin staff and having read so many negative reviews the experience exceeded my expectations.",Positive,0.20705555555555558,Thank you for your positive feedback!
"✅Trip Verified| Check in and security at T5 quick. Both Galleries lounges pretty much at capacity, not able to access B gates lounge as short haul, A gates departure Food options reasonable. Bus to aircraft which was quite new. On time departure. Reasonable food and drink options. Pleasant cabin crew. Bags off quickly.",Positive,0.21363636363636362,Thank you for your positive feedback!
"Not Verified|  LHR T5 BA Gold Wing worked well. Pleasant check in and very fast security screening. Concorde room service attentive. C gate boarding OK but nothing special for First Passengers. Latest BA version of first with only 8 suites with privacy doors. Comfortable seat with plenty of stowage. Good screen and good choice of IFE. Amenity kit good quality and bedding, pillows cushions and blankets all good. Excellent menu and food very well presented. Cabin crew could not have been more attentive and helpful without being obtrusive. On time departure and early arrival. Bags delivered relatively swiftly and priority tagged bags were first off. All in all one of the best BA First flights I’ve had in many years. Whilst not touching the Middle Eastern carriers BA First on this showing is easily the best way to cross the Atlantic.",Positive,0.4027936507936508,Thank you for your positive feedback!
"✅Trip Verified|   Flight mainly let down by a disagreeable flight attendant. No queue to check in at Cape Town - good. However checkin agent was unfamiliar with BA size and weight rules for sports bags so had to wait 10 minutes while phone calls were made -- annoying. Lounge was good. Gate service was excellent with organised queues. Seat was good (the new upgraded Club Suite). The zip broke off the amenity kit so it was unusable -- BA cutting corners too much here. Offered a cocktail service which came promptly and the drink was excellent. But no nuts! So I went off to the galley to ask for some nuts or a snack to go with it. I spoke to a male flight attendant who looked at me with utter distaste that I had the temerity to ask for nuts. The he said ""where have you come from?"". What a bizarre question. I said ""seat 8E"" to which he responded with a flick of his hand - ""go ask her, she's serving you."" I was stunned - I have not been treated that way in even the cheapest restaurants, let alone business class on a premium airline. The gentlemen concerned has no place in service or hospitality and should find a different line of work. Anyway, the food was good. The IFE worked fine. WiFi wasn't working. I managed 6.5 hours sleep and we got off the plane promptly despite being at a remote stand, requiring a bus. The luggage took quite a while to arrive. Overall 7/10. Would be 9/10 but for the rude staff member.",Positive,0.2074609733700643,Thank you for your positive feedback!
"✅Trip Verified|   This time British Airways managed to get everything right. The price of the tickets was reasonable and the timing was perfect. Boarding was smooth and the seats were comfortable – easy reline to enable dozing and sufficient pitch to get in and out. The table was firm enough to allow the use of a small laptop and mouse. A pre-flight soft drink or Prosecco was offered and both the food and drink were more than sufficient. The best part was the cabin crew – two in PE and they were both extremely efficient, pleasant and witty. There was a good selection of movies and both the screen and the headset worked perfectly.",Positive,0.3709656084656085,Thank you for your positive feedback!
"✅Trip Verified|   The seats were excellent, with a feel of much more room than the official seat pitch (I am 6ft 1in). We could sleep for a couple of hours (daytime flight), with the blinds down as they should be (no point booking a window seat in my view). I focus on seat quality much more than smiley faces and food (the food was middling, and the second meal, before landing, was distinctly sub-par).",Positive,0.3574074074074074,Thank you for your positive feedback!
"✅Trip Verified| First the good news, the club suites are such a huge improvement over the old business seats I hope I never see one again. The not so good news I’m afraid to say was the flight itself. The food has really gone downhill since my last flight, presumably this is a cost cutting measure. If other airlines can offer a really decent quality meal why can’t an airline of BA’s stature? I’ve always thought that a good crew can make up for all the shortcomings but not this time. The crew member looking after me could not have been more bored and was obviously just going through the motions. They couldn’t even be bothered to say cheerio, and I’m not sure I would have answered if they did. Here’s hoping my return is a more satisfying experience.",Positive,0.13903508771929823,Thank you for your positive feedback!
"✅Trip Verified|   I have never travelled with British airways before and this is the first time I chose to travel with BA due to the cheapest fare available during this time but I was bit unsure if I can enjoy my travel journey due to mixed reviews. I would like to express my extreme joy and satisfaction travelling with this amazing airline. I haven't seen such a great, efficient and friendly service by the cabin crew. I would like to personally thanks Ellie and Adam who were not only very professional but very kind too. Food served was delicious and the drinks were good too. I can say that I thoroughly enjoyed this flight and do not hesitate to recommend to anyone to try it",Positive,0.328,Thank you for your positive feedback!
"✅Trip Verified|   London Heathrow to Male In new business class. BA continues to get its mojo back starting with a classy lounge serving innovative, and interesting, quality pre-flight food (beetroot scotch eggs?). Excellent wine (Whispering Angel). Presentation of on-board food has always been a bit hit and miss with BA, but on this occasion it was tasty and OK. Friendly and efficient on board crew. Smile, treat them respectfully, and as equals.  On time flight and early arrival.  Only awarding a 9 because we were bussed from A-C gates, otherwise a really enjoyable experience.",Positive,0.3007575757575757,Thank you for your positive feedback!
Not Verified|  Very good flight following an equally good flight to Rome. Good food (especially on an evening flight) and aircraft early both ways. Just what short haul should be.,Positive,0.34428571428571425,Thank you for your positive feedback!
Not Verified|  An hour's delay due to late arrival of the incoming aircraft. The captain was a particularly able communicator who kept us in touch with the situation. We got freebie upgrades to emergency exit seats from a friendly member of the crew. In the end we were only 30 minutes behind schedule in a relatively comfortable elderly plane. Pretty stress free.,Positive,0.12222222222222223,Thank you for your positive feedback!
"✅Trip Verified|   After an excellent flight on a 777 CPT to LHR the return was not as good. BA have moved the Business Class checkin from one end of the hall to the other at T5 for no apparent reason so a nice long walk to check in. Fast Track security was very slow (15 minutes). The indicator board suggested the South Lounge was ""half full"" but when I went it was uncomfortably full and it is still tatty as not refurbished, so I went to the B Pier lounge instead. Much better except as usual the staff are sort of trying to pack up early and have a bizarre way of refilling the food containers which involves actually removing them to the kitchen (which means they are gone a lot of the time) rather than replenishing them customer side. Very employee-centric behaviour. Time for the flight so down to the transit to take us to the C Gates. Except the transit had decided not to stop any more at the B Gates so we watched five maybe seven transits pass through without stopping. Eventually me and a group of maybe 15 other passengers of mixed ages decided to descend to the walkway and run all the way to the C Gates. We all arrived soaked in sweat - not a nice start to a long business class flight. The A380 is spacious but the seat is outdated now and in urgent need of replacement. IFE was not working and had to be rebooted. The headphone prong was bent so headphones not working. The USB port was not working. Drinks were brought out promptly. Starter (salmon) was delicious - truly excellent. Beef was tough ... I think a bad piece of meat rather than badly cooked. Wines were good. Cheese was average to good. Staff were friendly. Good night's sleep. Breakfast good. The recheck experience at JNB is a huge hassle - there is a giant screen saying ""Domestic recheck"" and a queue but when you get to the front of the queue you are told it is SAFAIR only and not for SAA, BA's local partner. What a hassle. Why aren't we warned or told this ... loads of BA passengers making the same mistake. Overall 5/10. It's the little things that would make this better: fast track actually fast track. Refurbish the South Lounge. Have food replenishment in the passenger area, not the kitchen; make sure the transits stop, even late in the evening; refurbish the A380s; ask Do & Co (who are generally excellent by the way) to monitor meat quality rigorously.",Positive,0.17166099773242632,Thank you for your positive feedback!
"✅Trip Verified|   Pretty good flight but still some small things that can be improved. Check in was quick. Lounge was good - tasty food and well chosen wines. Disappointingly they had not secured a gate so we had to bus to the aircraft and it was all a hot scrum. I got the last bus to avoid the crush. Emirates, Turkish, Lufthansa, Qatar all had planes on gates ... why not BA? Penny-pinching? Then it turned out the cabin crew forgot about those on the last bus so I had to ask for a welcome drink. It came and the champagne was actually cold. Well done BA ... first time they managed to serve champagne cold in my 10 years of flying with them. Big improvement. Cabin and seat were lovely as always (I greatly prefer to the Emirates white/gold bling). Drinks service was prompt. IFE was good. Starter (trout) was OK. Main (chicken) was excellent. Cheese was sold not cold (as it should be). Wines were excellent. We were not disturbed through the night so got a good sleep on a comfy bed. Cabin was a bit too warm though for my personal preference. Was woken up (as asked) and served a tasty breakfast. Small detail - as it is impossible to get water to 100C at altitude maybe BA could warm the ceramic coffee cups so coffee retains its heat a bit longer? Pouring not quite hot coffee into a nice (but cold) china mug means it is lukewarm instantly. Off the plane in record time (2 minutes) after parking. Bags were waiting for us on the belt. Excellent work by the ground staff. Overall 8/10. Improvement points: gate not bus to the plane; don't forget passengers on the last bus or who board late (but well before pushback). Standout cabin crew member was ""Miguel"" - what a star.",Positive,0.20360360360360358,Thank you for your positive feedback!
